article,name,price,category_id,description,image_url,is_active
31010,Серые коты N3,2000.00,4,Фигурка серого кота N3,"https://sun9-87.vkuserphoto.ru/s/v1/ig2/YBRUw-Z6TSnHgqYzTD4YV_jItivn9Ogo8zHNQWZaJ8cR0lrsPIS7FY4HmA7iEEFphcf4CCseDtafcKJV9cnBzVXa.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&u=yqiHGTqlAvYo3HSGOcO1IjQns9Uu_O36zKQg5dA5WHE&cs=540x0",true
31011,Серые коты N4,2000.00,4,Фигурка серого кота N4,"https://sun9-29.vkuserphoto.ru/s/v1/ig2/jOnsZVfL23yuQ9ra4zxyFb9CS3OK1Z0fcjOJNyUc0eLvamw5MqZPUUyQuJvyHA9h2FteAFQl6NZq6Y8yxUgR_KkN.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&u=OlqwYJ6UYWceJonFATlcbX6EtnoEW-hGdCmf9l5Dr6s&cs=540x0",true
31012,Серые коты N5,2000.00,4,Фигурка серого кота N5,"https://sun9-75.vkuserphoto.ru/s/v1/ig2/J7f0x4pfgmj8RGte6nvnJJtuuB9_SpBXResXk1litGTkiOZYAVwEqke6I8lyC4ajJ5zZ73BaDPdoyVySl1sS6CFM.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&u=rrySioQGtEkATQswkq4QNQeV1HMtrb__3CSMtlcSwlM&cs=1080x0",true
31013,Денежная кошка N6,4000.00,4,Фигурка денежной кошки,"https://sun9-7.vkuserphoto.ru/s/v1/ig2/qHI_DIP9FxS_74QlSRoBT5P8WC_32ztXYoU1ily5jjq3FUnEtTAX2i_QeX3YeWxQcM9GXAjS6gTlnxcO0IgOkYy6.jpg?quality=95&as=32x16,48x24,72x36,108x54,160x80,240x120,360x180,480x240,540x270,640x320,720x360,1080x540,1280x640,1440x720,2560x1280&from=bu&u=AMVDu3Mgy2YwFQsqdnGLOHYicvNCYT5fCKw6e2oXHs0&cs=1080x0",true
31014,Морская кошка N6,4000.00,4,Фигурка морской кошки,"https://sun9-5.vkuserphoto.ru/s/v1/ig2/_KUwDSdvghY59qVDtFOc28XM8Qgm7RI_gRZDnAdUirZzBc3Ct3XPI2al9muNgZzf1iogTwOYiAw23toi9Z43LQ8d.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1834x1834&from=bu&u=YOwv0vgWCyxVxInwhw3-vShi8khmyFbXHp6llH0TI1M&cs=540x0",true
31015,Цветочные коты N6,5000.00,4,Фигурка кота с цветами,"https://sun9-5.vkuserphoto.ru/s/v1/ig2/RDPi-mqTmew7ER6ZaVMdgQ9TqWEH1I--k11sfbns6A2ggSOMv340VkB-MqxIzpyIiUeGgJAb5EozAf70J6riVigH.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1837x1837&from=bu&u=df1BtKWuj2oYEVRmxU7VcMYMjVUU3kzpkLuvH13WG3M&cs=540x0",true
31016,Серые коты N6,2000.00,4,Фигурка серого кота N6,"https://sun9-60.vkuserphoto.ru/s/v1/ig2/QLxydjO6de5ainnWJo6ryOjBsrEOPUJENm-7JDeWzUJ-_9BTbFZprlXmGq6xa1lOPd7vk9yqUiioIc-n3qisEstE.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1834x1834&from=bu&u=DGjVMdQqZU8dwMAHWyaaBVwe7i05e0se5_Ab7tSiVq8&cs=540x0",true
40001,Кольцо Моя прелесть из эпоксидной смолы,2000.00,5,Кольцо в стиле Властелина Колец,"https://sun9-2.vkuserphoto.ru/s/v1/ig2/LIQyDLkEnr7i_UQ4CCmg8SCT91HOwBmSBUM5wJMEbRFo0kzkJy0y1Fsx6Fh0IKrNKewWjVacDMPI6HTD5CnH5qhq.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x541,640x641,720x721,1080x1081,1280x1281,1440x1441,2078x2080&from=bu&u=jeU2YH9urijgJIMH5Iez5Ih9B_pDnI1r4v2R2dQlffw&cs=1280x0",true
40002,Кольцо Млеко из эпоксидной смолы,1500.00,5,Кольцо молочного цвета,"https://sun9-84.vkuserphoto.ru/s/v1/ig2/0wnW2phlxh11PT4nz-LmXIre5yqVfTVsVweEiuN9lDiADaRIIxURkADWKwzTA6MPm3W2dQI-mbz576w5L36EIWBl.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x241,360x361,480x481,540x541,640x642,720x722,1080x1083,1280x1283,1440x1443,2075x2080&from=bu&u=L2gg3WzMJxQXC6Idk6P3dia46sOBElyWE3ZKBZRzvuE&cs=1280x0",true
40003,Кольцо Неон из эпоксидной смолы,1500.00,5,Неоновое кольцо,"https://sun9-30.vkuserphoto.ru/s/v1/ig2/AYY5JQA0Z7fN6Y_UqYy_6sge32Q97Mi5lj1Tx0snBSVVeq5ff4zY1OC5Vt4MnTVrcnUrTqk-2QPbcTtmDa-NpIfs.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x241,360x361,480x481,540x541,640x642,720x722,1080x1083,1280x1283,1440x1443,2075x2080&from=bu&u=eFoSbtUQb9F-6KrDH16QbyiKz6Ah9ao35HLgK8e0ho0&cs=1280x0",true
40004,Кольцо Ночное небо из эпоксидной смолы,1500.00,5,Кольцо с эффектом ночного неба,"https://sun9-28.vkuserphoto.ru/s/v1/ig2/_1n4Qs782byYnb7qQYXtwejI-hxIMOrspFlFxPsWIfqIwDz1JL5eknYvobvStAUkliZEGUtIi_XbMfS1uMrCRBqf.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&u=3XFNA92IQWXzBNxeZx60r8xFFcyeQYG842bnT9tDtXQ&cs=1080x0",true
50001,Кровавый лед из эпоксидной смолы,500.00,4,Кулон с эффектом кровавого льда,"https://sun9-12.vkuserphoto.ru/s/v1/ig2/BsdtTN_g8aH9mdp8LULwqy7i26XJTVfvB3V06Gynw31Au4tXmP1qElRTbfsEi48NmgXftADpN2jLDZuJvO9K447r.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x641,720x721,1080x1081&from=bu&u=Y9a2aGistq07M55DzgdNN2DjXIV4rB3cNfps-m2PIsk&cs=540x0",true
60001,Драконовы кубы с кровью и пеплом,12000.00,6,Набор кубиков с драконьей тематикой,"https://sun9-66.vkuserphoto.ru/s/v1/ig2/Mb6hhGieZ77PGGdm7meDMhGaQwG8MbZCDU1g95UaZ_hdnWjyNoyx3ieeMlIqep5r_Qx0_JAloiDOwrIvc-8sRRL7.jpg?quality=95&as=32x14,48x22,72x32,108x49,160x72,240x108,360x162,480x216,540x243,640x287,720x323,1080x485,1280x575,1440x647,2560x1150&from=bu&u=-hulhvVg0CnHoMmxpr62ajvNYyBZBuk8KnahDZwsLno&cs=1280x0",true
60002,Цветочный к6,1500.00,6,Шестигранный кубик с цветами,"https://sun9-81.vkuserphoto.ru/s/v1/ig2/4oiWWHxQAkHXiVDOHiVUroL1WTWXiyvChKJvFJYoX_8ehvx2nCff1cH0seyel7dI1KABiH6vTKNQ8ctSPaOJgJ9H.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1837x1837&from=bu&u=X_nEtCKysebzQkVPlHZsw-FJfIYGk34F-CTBzyLS9jw&cs=540x0",true
